DIA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
22 MAR 2020,10-19,8.0,
22 MAR 2020,20-29,30.0,
22 MAR 2020,30-39,54.0,
22 MAR 2020,40-49,72.0,
22 MAR 2020,50-59,68.0,
22 MAR 2020,60-69,33.0,
22 MAR 2020,70-79,28.0,
22 MAR 2020,80+,22.0,
23 MAR 2020,0-9,2.0,
23 MAR 2020,10-19,9.0,
23 MAR 2020,20-29,53.0,
23 MAR 2020,30-39,59.0,
23 MAR 2020,40-49,90.0,
23 MAR 2020,50-59,79.0,
23 MAR 2020,60-69,81.0,
23 MAR 2020,70-79,39.0,
23 MAR 2020,80+,48.0,
24 MAR 2020,0-9,0.0,
24 MAR 2020,10-19,-1.0,
24 MAR 2020,20-29,38.0,
24 MAR 2020,30-39,47.0,
24 MAR 2020,40-49,44.0,
24 MAR 2020,50-59,62.0,
24 MAR 2020,60-69,54.0,
24 MAR 2020,70-79,33.0,
24 MAR 2020,80+,25.0,
25 MAR 2020,0-9,9.0,0.0
25 MAR 2020,10-19,12.0,0.0
25 MAR 2020,20-29,70.0,0.0
25 MAR 2020,30-39,96.0,0.0
25 MAR 2020,40-49,103.0,0.0
25 MAR 2020,50-59,112.0,1.0
25 MAR 2020,60-69,76.0,3.0
25 MAR 2020,70-79,63.0,2.0
25 MAR 2020,80+,92.0,4.0
26 MAR 2020,0-9,9.0,0.0
26 MAR 2020,10-19,23.0,0.0
26 MAR 2020,20-29,52.0,0.0
26 MAR 2020,30-39,88.0,0.0
26 MAR 2020,40-49,120.0,0.0
26 MAR 2020,50-59,102.0,0.0
26 MAR 2020,60-69,60.0,1.0
26 MAR 2020,70-79,41.0,8.0
26 MAR 2020,80+,54.0,8.0
27 MAR 2020,0-9,6.0,0.0
27 MAR 2020,10-19,4.0,0.0
27 MAR 2020,20-29,33.0,0.0
27 MAR 2020,30-39,93.0,0.0
27 MAR 2020,40-49,150.0,1.0
27 MAR 2020,50-59,138.0,0.0
27 MAR 2020,60-69,129.0,2.0
27 MAR 2020,70-79,98.0,3.0
27 MAR 2020,80+,69.0,10.0
28 MAR 2020,0-9,7.0,0.0
28 MAR 2020,10-19,19.0,0.0
28 MAR 2020,20-29,85.0,0.0
28 MAR 2020,30-39,130.0,0.0
28 MAR 2020,40-49,181.0,1.0
28 MAR 2020,50-59,156.0,1.0
28 MAR 2020,60-69,123.0,4.0
28 MAR 2020,70-79,95.0,3.0
28 MAR 2020,80+,110.0,15.0
29 MAR 2020,0-9,8.0,0.0
29 MAR 2020,10-19,15.0,0.0
29 MAR 2020,20-29,70.0,0.0
29 MAR 2020,30-39,101.0,0.0
29 MAR 2020,40-49,144.0,0.0
29 MAR 2020,50-59,153.0,0.0
29 MAR 2020,60-69,114.0,1.0
29 MAR 2020,70-79,101.0,6.0
29 MAR 2020,80+,86.0,12.0
30 MAR 2020,0-9,7.0,0.0
30 MAR 2020,10-19,11.0,0.0
30 MAR 2020,20-29,49.0,0.0
30 MAR 2020,30-39,63.0,0.0
30 MAR 2020,40-49,64.0,0.0
30 MAR 2020,50-59,66.0,1.0
30 MAR 2020,60-69,51.0,1.0
30 MAR 2020,70-79,57.0,4.0
30 MAR 2020,80+,78.0,15.0
31 MAR 2020,0-9,23.0,0.0
31 MAR 2020,10-19,35.0,0.0
31 MAR 2020,20-29,118.0,0.0
31 MAR 2020,30-39,150.0,0.0
31 MAR 2020,40-49,173.0,0.0
31 MAR 2020,50-59,196.0,0.0
31 MAR 2020,60-69,127.0,1.0
31 MAR 2020,70-79,90.0,7.0
31 MAR 2020,80+,123.0,12.0
01 ABR 2020,0-9,10.0,0.0
01 ABR 2020,10-19,21.0,0.0
01 ABR 2020,20-29,70.0,0.0
01 ABR 2020,30-39,105.0,0.0
01 ABR 2020,40-49,137.0,0.0
01 ABR 2020,50-59,130.0,1.0
01 ABR 2020,60-69,105.0,0.0
01 ABR 2020,70-79,75.0,3.0
01 ABR 2020,80+,155.0,23.0
02 ABR 2020,0-9,11.0,0.0
02 ABR 2020,10-19,14.0,0.0
02 ABR 2020,20-29,71.0,0.0
