SEMANA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
17 a 23 AGO 2020,40-49,225.0,1.0
17 a 23 AGO 2020,50-59,171.0,0.0
17 a 23 AGO 2020,60-69,122.0,2.0
17 a 23 AGO 2020,70-79,75.0,2.0
17 a 23 AGO 2020,80+,124.0,15.0
24 a 30 AGO 2020,0-9,56.0,1.0
24 a 30 AGO 2020,10-19,88.0,0.0
24 a 30 AGO 2020,20-29,289.0,0.0
24 a 30 AGO 2020,30-39,273.0,0.0
24 a 30 AGO 2020,40-49,238.0,0.0
24 a 30 AGO 2020,50-59,186.0,1.0
24 a 30 AGO 2020,60-69,147.0,0.0
24 a 30 AGO 2020,70-79,89.0,6.0
24 a 30 AGO 2020,80+,119.0,14.0
31 a 06 SET 2020,0-9,103.0,0.0
31 a 06 SET 2020,10-19,157.0,0.0
31 a 06 SET 2020,20-29,430.0,0.0
31 a 06 SET 2020,30-39,393.0,0.0
31 a 06 SET 2020,40-49,361.0,0.0
31 a 06 SET 2020,50-59,300.0,0.0
31 a 06 SET 2020,60-69,226.0,0.0
31 a 06 SET 2020,70-79,140.0,6.0
31 a 06 SET 2020,80+,177.0,15.0
07 a 13 SET 2020,0-9,130.0,0.0
07 a 13 SET 2020,10-19,191.0,0.0
07 a 13 SET 2020,20-29,449.0,0.0
07 a 13 SET 2020,30-39,393.0,0.0
07 a 13 SET 2020,40-49,374.0,0.0
07 a 13 SET 2020,50-59,318.0,0.0
07 a 13 SET 2020,60-69,258.0,1.0
07 a 13 SET 2020,70-79,155.0,10.0
07 a 13 SET 2020,80+,207.0,10.0
14 a 20 SET 2020,0-9,223.0,0.0
14 a 20 SET 2020,10-19,326.0,0.0
14 a 20 SET 2020,20-29,779.0,0.0
14 a 20 SET 2020,30-39,658.0,0.0
14 a 20 SET 2020,40-49,609.0,1.0
14 a 20 SET 2020,50-59,565.0,0.0
14 a 20 SET 2020,60-69,406.0,3.0
14 a 20 SET 2020,70-79,223.0,8.0
14 a 20 SET 2020,80+,276.0,16.0
21 a 27 SET 2020,0-9,230.0,0.0
21 a 27 SET 2020,10-19,366.0,0.0
21 a 27 SET 2020,20-29,776.0,0.0
21 a 27 SET 2020,30-39,805.0,0.0
21 a 27 SET 2020,40-49,772.0,1.0
21 a 27 SET 2020,50-59,642.0,1.0
21 a 27 SET 2020,60-69,439.0,5.0
21 a 27 SET 2020,70-79,282.0,7.0
21 a 27 SET 2020,80+,264.0,35.0
28 a 04 OUT 2020,0-9,292.0,0.0
28 a 04 OUT 2020,10-19,393.0,0.0
28 a 04 OUT 2020,20-29,750.0,0.0
28 a 04 OUT 2020,30-39,797.0,0.0
28 a 04 OUT 2020,40-49,748.0,0.0
28 a 04 OUT 2020,50-59,666.0,0.0
28 a 04 OUT 2020,60-69,458.0,3.0
28 a 04 OUT 2020,70-79,340.0,4.0
28 a 04 OUT 2020,80+,348.0,30.0
05 a 11 OUT 2020,0-9,356.0,0.0
05 a 11 OUT 2020,10-19,512.0,0.0
05 a 11 OUT 2020,20-29,933.0,0.0
05 a 11 OUT 2020,30-39,887.0,0.0
05 a 11 OUT 2020,40-49,931.0,0.0
05 a 11 OUT 2020,50-59,790.0,3.0
05 a 11 OUT 2020,60-69,554.0,3.0
05 a 11 OUT 2020,70-79,389.0,11.0
05 a 11 OUT 2020,80+,495.0,31.0
12 a 18 OUT 2020,0-9,348.0,0.0
12 a 18 OUT 2020,10-19,729.0,0.0
12 a 18 OUT 2020,20-29,1565.0,0.0
12 a 18 OUT 2020,30-39,1284.0,1.0
12 a 18 OUT 2020,40-49,1308.0,0.0
12 a 18 OUT 2020,50-59,1082.0,3.0
12 a 18 OUT 2020,60-69,748.0,1.0
12 a 18 OUT 2020,70-79,476.0,8.0
12 a 18 OUT 2020,80+,502.0,49.0
19 a 25 OUT 2020,0-9,569.0,0.0
19 a 25 OUT 2020,10-19,1225.0,0.0
19 a 25 OUT 2020,20-29,2611.0,0.0
19 a 25 OUT 2020,30-39,2210.0,0.0
19 a 25 OUT 2020,40-49,2383.0,2.0
19 a 25 OUT 2020,50-59,1997.0,2.0
19 a 25 OUT 2020,60-69,1324.0,13.0
19 a 25 OUT 2020,70-79,785.0,23.0
19 a 25 OUT 2020,80+,872.0,64.0
26 a 01 NOV 2020,0-9,753.0,0.0
26 a 01 NOV 2020,10-19,1761.0,0.0
26 a 01 NOV 2020,20-29,3494.0,1.0
26 a 01 NOV 2020,30-39,3002.0,0.0
26 a 01 NOV 2020,40-49,3313.0,0.0
26 a 01 NOV 2020,50-59,2821.0,4.0
26 a 01 NOV 2020,60-69,1774.0,15.0
26 a 01 NOV 2020,70-79,1110.0,27.0
26 a 01 NOV 2020,80+,1215.0,98.0
02 a 08 NOV 2020,0-9,710.0,0.0
02 a 08 NOV 2020,10-19,1526.0,0.0
02 a 08 NOV 2020,20-29,2807.0,0.0
02 a 08 NOV 2020,30-39,2555.0,0.0
02 a 08 NOV 2020,40-49,2796.0,0.0
02 a 08 NOV 2020,50-59,2433.0,7.0
02 a 08 NOV 2020,60-69,1626.0,20.0
02 a 08 NOV 2020,70-79,1033.0,52.0
02 a 08 NOV 2020,80+,1347.0,168.0
09 a 15 NOV 2020,0-9,1864.0,0.0
09 a 15 NOV 2020,10-19,3799.0,0.0
09 a 15 NOV 2020,20-29,5830.0,0.0
09 a 15 NOV 2020,30-39,5555.0,0.0
09 a 15 NOV 2020,40-49,6314.0,3.0
09 a 15 NOV 2020,50-59,5643.0,14.0
09 a 15 NOV 2020,60-69,3235.0,30.0
09 a 15 NOV 2020,70-79,2027.0,70.0
09 a 15 NOV 2020,80+,2233.0,252.0
16 a 22 NOV 2020,0-9,2491.0,0.0
16 a 22 NOV 2020,10-19,4243.0,0.0
16 a 22 NOV 2020,20-29,5217.0,0.0
16 a 22 NOV 2020,30-39,5427.0,1.0
16 a 22 NOV 2020,40-49,6597.0,3.0
16 a 22 NOV 2020,50-59,5704.0,12.0
16 a 22 NOV 2020,60-69,3584.0,39.0
16 a 22 NOV 2020,70-79,2341.0,105.0
16 a 22 NOV 2020,80+,2487.0,353.0
23 a 29 NOV 2020,0-9,2432.0,0.0
23 a 29 NOV 2020,10-19,4106.0,0.0
23 a 29 NOV 2020,20-29,5263.0,1.0
23 a 29 NOV 2020,30-39,5484.0,0.0
23 a 29 NOV 2020,40-49,6524.0,6.0
23 a 29 NOV 2020,50-59,5882.0,14.0
23 a 29 NOV 2020,60-69,3898.0,35.0
23 a 29 NOV 2020,70-79,2329.0,108.0
23 a 29 NOV 2020,80+,2620.0,335.0
30 a 06 DEZ 2020,0-9,2112.0,0.0
30 a 06 DEZ 2020,10-19,3421.0,0.0
30 a 06 DEZ 2020,20-29,4666.0,0.0
30 a 06 DEZ 2020,30-39,4620.0,1.0
30 a 06 DEZ 2020,40-49,5489.0,5.0
30 a 06 DEZ 2020,50-59,4827.0,16.0
30 a 06 DEZ 2020,60-69,3340.0,49.0
30 a 06 DEZ 2020,70-79,2125.0,124.0
30 a 06 DEZ 2020,80+,2514.0,339.0
07 a 13 DEZ 2020,0-9,1594.0,0.0
07 a 13 DEZ 2020,10-19,2590.0,0.0
07 a 13 DEZ 2020,20-29,3489.0,1.0
07 a 13 DEZ 2020,30-39,3611.0,2.0
07 a 13 DEZ 2020,40-49,4409.0,4.0
07 a 13 DEZ 2020,50-59,3680.0,10.0
07 a 13 DEZ 2020,60-69,2488.0,47.0
07 a 13 DEZ 2020,70-79,1768.0,110.0
07 a 13 DEZ 2020,80+,2388.0,362.0
14 a 20 DEZ 2020,0-9,1724.0,0.0
14 a 20 DEZ 2020,10-19,2798.0,1.0
14 a 20 DEZ 2020,20-29,5199.0,0.0
14 a 20 DEZ 2020,30-39,4692.0,3.0
14 a 20 DEZ 2020,40-49,4913.0,3.0
14 a 20 DEZ 2020,50-59,4445.0,7.0
14 a 20 DEZ 2020,60-69,2994.0,42.0
14 a 20 DEZ 2020,70-79,2075.0,117.0
14 a 20 DEZ 2020,80+,3046.0,435.0
21 a 27 DEZ 2020,0-9,1483.0,0.0
21 a 27 DEZ 2020,10-19,2299.0,1.0
21 a 27 DEZ 2020,20-29,3545.0,0.0
21 a 27 DEZ 2020,30-39,3430.0,0.0
21 a 27 DEZ 2020,40-49,3915.0,6.0
21 a 27 DEZ 2020,50-59,3715.0,10.0
21 a 27 DEZ 2020,60-69,2666.0,43.0
21 a 27 DEZ 2020,70-79,1807.0,112.0
21 a 27 DEZ 2020,80+,2418.0,370.0
28 a 03 JAN 2021,0-9,1136.0,0.0
28 a 03 JAN 2021,10-19,1752.0,0.0
28 a 03 JAN 2021,20-29,2762.0,0.0
28 a 03 JAN 2021,30-39,2819.0,0.0
28 a 03 JAN 2021,40-49,3456.0,3.0
28 a 03 JAN 2021,50-59,3065.0,13.0
28 a 03 JAN 2021,60-69,2176.0,33.0
28 a 03 JAN 2021,70-79,1490.0,101.0
28 a 03 JAN 2021,80+,1788.0,336.0
04 a 10 JAN 2021,0-9,1755.0,0.0
04 a 10 JAN 2021,10-19,3078.0,0.0
04 a 10 JAN 2021,20-29,5137.0,1.0
04 a 10 JAN 2021,30-39,5217.0,2.0
04 a 10 JAN 2021,40-49,5700.0,4.0
04 a 10 JAN 2021,50-59,5277.0,18.0
04 a 10 JAN 2021,60-69,3518.0,46.0
04 a 10 JAN 2021,70-79,2387.0,107.0
04 a 10 JAN 2021,80+,2875.0,341.0
11 a 17 JAN 2021,0-9,2863.0,0.0
11 a 17 JAN 2021,10-19,5577.0,0.0
11 a 17 JAN 2021,20-29,8849.0,0.0
11 a 17 JAN 2021,30-39,8383.0,1.0
11 a 17 JAN 2021,40-49,9237.0,10.0
11 a 17 JAN 2021,50-59,8297.0,18.0
11 a 17 JAN 2021,60-69,5846.0,67.0
11 a 17 JAN 2021,70-79,3737.0,166.0
11 a 17 JAN 2021,80+,4869.0,467.0
18 a 24 JAN 2021,0-9,4075.0,0.0
18 a 24 JAN 2021,10-19,6774.0,0.0
18 a 24 JAN 2021,20-29,9215.0,1.0
18 a 24 JAN 2021,30-39,9294.0,5.0
18 a 24 JAN 2021,40-49,11175.0,10.0
18 a 24 JAN 2021,50-59,9781.0,26.0
18 a 24 JAN 2021,60-69,6810.0,99.0
18 a 24 JAN 2021,70-79,4507.0,209.0
18 a 24 JAN 2021,80+,5564.0,753.0
25 a 31 JAN 2021,0-9,5356.0,0.0
25 a 31 JAN 2021,10-19,8822.0,0.0
25 a 31 JAN 2021,20-29,10885.0,1.0
25 a 31 JAN 2021,30-39,12072.0,4.0
25 a 31 JAN 2021,40-49,15042.0,8.0
25 a 31 JAN 2021,50-59,13012.0,39.0
25 a 31 JAN 2021,60-69,8700.0,150.0
25 a 31 JAN 2021,70-79,5525.0,359.0
25 a 31 JAN 2021,80+,7180.0,1132.0
01 a 07 FEV 2021,0-9,641.0,0.0
01 a 07 FEV 2021,10-19,975.0,0.0
01 a 07 FEV 2021,20-29,1363.0,0.0
01 a 07 FEV 2021,30-39,1502.0,1.0
01 a 07 FEV 2021,40-49,1907.0,3.0
01 a 07 FEV 2021,50-59,1649.0,11.0
01 a 07 FEV 2021,60-69,1143.0,22.0
01 a 07 FEV 2021,70-79,762.0,59.0
01 a 07 FEV 2021,80+,818.0,195.0
